name,city,county,state,zip,latitude,longitude,total_units,programs_and_designations,Sec8HCV,RuralSec515,Senior,LIHTC,PublicHsg,HOMEipp,Disabilities
Marcella,Arvada,Adams County,Colorado,80004,39.81558,-105.08281,206," Section 8 Project-Based Rental Assistance, Persons With Disabilities, Senior (62+), Project-Based Rental Assistance",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Park Terrace Apartments,Arvada,Adams County,Colorado,80002,39.79291,-105.09192,96," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sheridan Ridge Townhomes,Arvada,Adams County,Colorado,0,39.816285,-105.05342,65," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Terrace Park Apartments,Arvada,Adams County,Colorado,80002,39.79376,-105.0963,54," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Willow Green,Arvada,Adams County,Colorado,80003,39.82321,-105.0554,60," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Asbury Park Apartments,Aurora,Adams County,Colorado,80014,39.6803,-104.86423,44," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Asbury Park Apartments,Aurora,Adams County,Colorado,80014,39.6807,-104.8642,43," Section 42 Low-Income Housing Tax Credit (LIHTC), Section 8 Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aspen Meadows Apartments,Aurora,Adams County,Colorado,80011,39.72691,-104.82907,100," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance, Persons With Disabilities, Senior (62+)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Aspen Place,Aurora,Adams County,Colorado,80011,39.7332729,-104.810736,58," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Aurora Homes,Aurora,Adams County,Colorado,80010,39.74113,-104.86407,54," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aurora Village Apartments,Aurora,Adams County,Colorado,80011,39.73731,-104.80298,100," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Beeler Street,Aurora,Adams County,Colorado,80010,39.7466,-104.88099,4," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Bfz Partnership,Aurora,Adams County,Colorado,80010,39.74258,-104.88077,34," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Buckingham Gardens,Aurora,Adams County,Colorado,80012,39.70113,-104.86239,121,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Community Alternative,Aurora,Adams County,Colorado,80010,39.7416,-104.86692,8," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Dayton Meadows,Aurora,Adams County,Colorado,80247,39.68491,-104.87635,120," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Developmental Pathways of Aurora,Aurora,Adams County,Colorado,80012,39.68804,-104.86407,12," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Developmental Pathways, Inc",Aurora,Adams County,Colorado,80010,39.7335,-104.85681,18," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Fletcher Garden Apartments,Aurora,Adams County,Colorado,80010,39.73912,-104.8744,93," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Florence Square I,Aurora,Adams County,Colorado,80010,39.74077,-104.87397,110," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Florence Square II Apartments,Aurora,Adams County,Colorado,80010,39.74096,-104.87352,71," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Montview Heights,Aurora,Adams County,Colorado,80011,39.74817,-104.8215,50," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mrachek House,Aurora,Adams County,Colorado,80011,39.74541,-104.81542,8," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pinewood Lodge,Aurora,Adams County,Colorado,80012,39.71275,-104.86306,103," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Plaza Townhomes at Macon and Moline,Aurora,Adams County,Colorado,80010,39.73723,-104.85493,30," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Residences at 6th Ave,Aurora,Adams County,Colorado,80011,39.72613,-104.82957,68," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Residences at First Avenue,Aurora,Adams County,Colorado,80010,39.71895,-104.86202,181," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Residences at Trolley Park,Aurora,Adams County,Colorado,80010,39.73958,-104.87649,38," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sandcreek Apartments,Aurora,Adams County,Colorado,80011,39.74748,-104.82408,126," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Shadow Tree Apartments,Aurora,Adams County,Colorado,80011,39.74537,-104.82391,116," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Summersong Townhouses,Aurora,Adams County,Colorado,80247,39.67928,-104.87238,50," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Terrace Park Apartments,Aurora,Adams County,Colorado,80017,39.70713,-104.8014,179," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Townhomes at Tollgate Creek,Aurora,Adams County,Colorado,80013,39.67547,-104.78552,60," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Townsquare Apartments,Aurora,Adams County,Colorado,0,39.740392,-104.862681,94," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Villa Apartments,Aurora,Adams County,Colorado,80010,39.7416,-104.86692,8," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Village at Hampden Town Center,Aurora,Adams County,Colorado,80014,39.65015,-104.87907,132," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Weatherstone Apartments,Aurora,Adams County,Colorado,80011,39.73548,-104.80298,204," Section 42 Low-Income Housing Tax Credit (LIHTC), Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Brighton,Brighton,Adams County,Colorado,80601,39.97968,-104.82392,44,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Brighton Senior Apartments,Brighton,Adams County,Colorado,80601,39.97968,-104.82381,60," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Colorado,Brighton,Adams County,Colorado,80601,39.97229,-104.82267,132,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
H2hom02037c Almost Home Acquisition,Brighton,Adams County,Colorado,80601,39.99205,-104.82054,11,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
H5hom05027 Almosthome Hughes,Brighton,Adams County,Colorado,80601,39.98282,-104.8223,11,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Hughes Station,Brighton,Adams County,Colorado,80601,39.99166,-104.82044,120," Section 42 Low-Income Housing Tax Credit (LIHTC), HOME Investment Partnerships Program, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Pinecone Mayfield Apartments,Brighton,Adams County,Colorado,80601,39.97654,-104.83123,40," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Platte Valley Terrace of Brighton,Brighton,Adams County,Colorado,80601,39.97628,-104.83192,46," Section 515 Rural Rental Housing, Section 521 USDA Rental Assistance, Project-Based Rental Assistance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Riverwalk Apartments,Brighton,Adams County,Colorado,80601,39.97513,-104.83362,132," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Spring Hollow Family Apartments,Brighton,Adams County,Colorado,80601,39.98584,-104.79785,108," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Chdo - Bell Creek,Commerce City,Adams County,Colorado,80022,39.869159,-104.774403,155,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Conter Estates Senior II,Commerce City,Adams County,Colorado,80022,39.80619,-104.91165,75," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
H4hom03058 Acha Rockmont Apartments,Commerce City,Adams County,Colorado,80022,39.82632,-104.92341,9,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Holly Park East,Commerce City,Adams County,Colorado,80022,39.80549,-104.92303,96," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Holly Park West,Commerce City,Adams County,Colorado,80022,39.80548,-104.92457,96," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kearney Plaza Apartments,Commerce City,Adams County,Colorado,80022,39.81183,-104.91711,51," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance, Persons With Disabilities, Senior (62+)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Madonna Plaza,Commerce City,Adams County,Colorado,80022,39.81054,-104.91825,50," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pinecrest at Commerce City,Commerce City,Adams County,Colorado,80022,39.79973,-104.90675,112," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Prairie Rose Plaza,Commerce City,Adams County,Colorado,80022,39.81238,-104.91757,19," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Village Crest Apartments,Commerce City,Adams County,Colorado,80022,39.81013,-104.91596,120," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Glennpark Village Apartments,Northglenn,Adams County,Colorado,80233,39.90036,-104.98111,26," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Imagine,Northglenn,Adams County,Colorado,80234,39.89772,-104.9972,6," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Reserve at Northglenn,Northglenn,Adams County,Colorado,80233,39.90484,-104.98597,220," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Squire Village Apartments,Northglenn,Adams County,Colorado,80233,39.89957,-104.9811,51," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Squire Village Apartments,Northglenn,Adams County,Colorado,80233,39.90014,-104.98044,51," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Prairie Creek Rental Housing,Strasburg,Adams County,Colorado,80136,39.7458,-104.32893,24,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Coronado Residences,Thornton,Adams County,Colorado,80229,39.84243,-104.9643,6," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Creekside Place,Thornton,Adams County,Colorado,80260,39.86124,-105.00027,208," Section 8 Project-Based Rental Assistance, HOME Investment Partnerships Program, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Dawson Square Apartments,Thornton,Adams County,Colorado,80229,39.85559,-104.97312,36," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dawson Square Apartments,Thornton,Adams County,Colorado,80229,39.85461,-104.97316,36," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Orchard Hill Apartments,Thornton,Adams County,Colorado,80260,39.85734,-105.00326,88," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Overlook at Thornton,Thornton,Adams County,Colorado,80260,39.8613,-104.99406,160," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Renaissance Apartments,Thornton,Adams County,Colorado,80229,39.85614,-104.98049,180," Section 42 Low-Income Housing Tax Credit (LIHTC), Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Reserve at Thornton,Thornton,Adams County,Colorado,80229,39.87309,-104.94173,216," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acq - West 68th,Westminster,Adams County,Colorado,80030,39.82852,-105.03853,81,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bradburn Gardens Apartments,Westminster,Adams County,Colorado,80030,39.8334,-105.0414,44," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Clare of Assisi Homes,Westminster,Adams County,Colorado,80031,39.84699,-105.01609,60," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
East Bay Senior Housing,Westminster,Adams County,Colorado,80030,39.81965,-105.03811,82," Section 202 Supportive Housing for the Elderly, HOME Investment Partnerships Program, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Glendale Apartments,Westminster,Adams County,Colorado,80003,39.83923,-105.0536,120," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Orchard Crossing,Westminster,Adams County,Colorado,80030,39.82864,-105.04324,74," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Toscana Apartments,Westminster,Adams County,Colorado,80003,39.85116,-105.05293,252," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Villa Maria,Westminster,Adams County,Colorado,80031,39.84695,-105.01712,40," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Walnut Creek Apartments,Westminster,Adams County,Colorado,80021,39.88343,-105.09295,220," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Westminster Commons,Westminster,Adams County,Colorado,80030,39.83444,-105.02804,130," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alamosa,Alamosa,Alamosa County,Colorado,81101,37.46005,-105.86743,199,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Alamosa Senior Housing,Alamosa,Alamosa County,Colorado,81101,37.47761,-105.88924,26," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Casita De La Luna Apartments,Alamosa,Alamosa County,Colorado,81101,37.46604,-105.87578,28," Section 42 Low-Income Housing Tax Credit (LIHTC), Section 515 Rural Rental Housing, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Casita Del Sol Apartments,Alamosa,Alamosa County,Colorado,81101,37.46131,-105.87743,24," Section 42 Low-Income Housing Tax Credit (LIHTC), Section 515 Rural Rental Housing, Section 521 USDA Rental Assistance, Project-Based Rental Assistance",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Sierra Vista Apartments of Alamosa,Alamosa,Alamosa County,Colorado,81101,37.47839,-105.89025,32,Section 515 Rural Rental Housing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Totten Manor,Alamosa,Alamosa County,Colorado,0,37.476786,-105.889802,26," Section 515 Rural Rental Housing, Section 521 USDA Rental Assistance, Project-Based Rental Assistance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
North View Apartments,Julesburg,Alamosa County,Colorado,80737,40.99091,-102.27326,52,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Developmental Pathways,Centennial,Arapahoe County,Colorado,80121,39.59608,-104.97825,12," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Englewood,Englewood,Arapahoe County,Colorado,80113,39.65448,-104.98575,110,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Lincolnpointe Lofts,Englewood,Arapahoe County,Colorado,80112,39.53944,-104.86708,133," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Presidential Arms Apartments,Englewood,Arapahoe County,Colorado,80113,39.65155,-104.97972,33," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Reserve at Southcreek,Englewood,Arapahoe County,Colorado,80112,39.57928,-104.80711,168," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sheridan Gardens Apartments,Englewood,Arapahoe County,Colorado,80110,39.63857,-105.03461,48," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Simon Center,Englewood,Arapahoe County,Colorado,80113,39.65591,-104.98673,105," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Terraces on Pennsylvania,Englewood,Arapahoe County,Colorado,80113,39.65165,-104.98137,62," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Caley Ridge,Greenwood Village,Arapahoe County,Colorado,80111,39.60129,-104.87826,100," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Prentice Place Lofts,Greenwood Village,Arapahoe County,Colorado,80111,39.61995,-104.89292,104," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Alyson Court,Littleton,Arapahoe County,Colorado,80120,39.61161,-105.00305,60," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amity Plaza,Littleton,Arapahoe County,Colorado,80120,39.59239,-104.99099,180," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arapahoe Mental Health,Littleton,Arapahoe County,Colorado,80120,39.6125,-104.99372,6," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Chda Chdo Acquisition,Littleton,Arapahoe County,Colorado,80120,39.61588,-104.99385,6,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
